n,time
1,9500
1,4600
1,4700
1,4700
1,4900
1,5300
1,4800
1,5700
1,5100
1,5300
1,4900
1,4700
1,4400
1,4700
1,4900
1,4800
1,5800
1,5600
1,6200
1,4800
2,34400
2,64900
2,81800
2,35200
2,4800
2,74500
2,35900
2,96100
2,89400
2,102400
2,60800
2,71400
2,36700
2,102900
2,72600
2,69100
2,90900
2,5100
2,51200
2,116100
3,48014100
3,5432400
3,21983200
3,9872900
3,11702500
3,8950400
3,4861900
3,17801300
3,19124400
3,9977400
3,42970800
3,7670200
3,14232300
3,8222000
3,13055500
3,16624700
3,29285500
3,48090200
3,43814900
3,2237000
4,121778700
4,1317381100
4,715597800
4,318378700
4,266934800
4,2222431000
4,630772900
4,373336600
4,298888500
4,317942900
4,796872900
4,909357800
4,893785500
4,416583400
4,1104392000
4,380939900
4,396353100
4,236416700
4,456956500
4,371823900
5,51578889400
5,14012146500
5,5089550400
5,670683700
5,136524034700
5,41738583300
5,108762866100
5,1258106500
5,27534487100
5,786356962900
5,110486260700
5,114987459400
5,3494617300
5,9806543800
5,2212873100
5,43742111700
5,58395865900
5,6543824000
5,63202000800
5,34094413100
