n,time
1,9500
1,9000
1,4800
1,5400
1,5000
1,5000
1,5800
1,5700
1,7200
1,8000
1,5800
1,5700
1,5600
1,5500
1,5500
1,5700
1,5900
1,5700
1,6300
1,36400
2,118600
2,222600
2,5400
2,84900
2,82700
2,229300
2,120400
2,81500
2,121600
2,83200
2,122200
2,68400
2,57100
2,41500
2,44100
2,130200
2,203200
2,330500
2,41900
2,163300
3,714224800
3,549370800
3,719515800
3,160845200
3,747085900
3,321216000
3,404279500
3,1895577200
3,146106800
3,2417095500
3,524280500
3,784429200
3,289837400
3,114964900
3,5780957700
3,268321700
3,2494623600
3,418752700
3,428604800
3,768859600
