n,time
1,15200
1,6620
1,6620
1,6590
1,6590
1,6619
1,6750
1,6480
1,6620
1,6500
1,6680
1,6680
1,6530
1,7750
1,8090
1,7960
1,8260
1,10730
1,11050
1,6510
2,158999
2,219119
2,7230
2,128929
2,124569
2,267978
2,160219
2,125209
2,163189
2,123750
2,197069
2,58260
2,56720
2,187749
2,189209
2,60310
2,59500
2,60550
2,179629
2,157789
3,29610667
3,48216831
3,12419216
3,12167687
3,11169853
3,33207258
3,16049047
3,4005889
3,14723064
3,23079681
3,7880299
3,19745808
3,26420904
3,20791783
3,47495125
3,8047769
3,55496214
3,13332312
3,24073356
3,2100319
4,915393051
4,233863205
4,305666285
4,684869950
4,217763108
4,1636334636
4,1427814571
4,354192874
4,525974889
4,864844223
4,1539706244
4,157179909
4,293527147
4,394481716
4,387300803
4,81580889
4,187303684
4,1970636981
4,861374400
4,983180772
5,66817328555
5,23848794497
5,4503692681
5,55593476691
5,12501984797
5,6039866083
5,15453911497
5,12693657631
5,161617413564
5,20434379188
5,38851313061
5,13623377489
5,2697462334
5,1871976004
5,26755702834
5,6221284607
5,8796721911
5,122047644406
5,6518769829
5,12496942017
